1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105
Grid	Year	StartDLS	EndDLS	lat	lng	Timezone	SurfaceArea	Alt	z	id	ih	imin	Fr_Paved	Fr_Bldgs	Fr_EveTr	Fr_DecTr	Fr_Grass	Fr_Bsoil	Fr_Water	IrrFr_Paved	IrrFr_Bldgs	IrrFr_EveTr	IrrFr_DecTr	IrrFr_Grass	IrrFr_BSoil	IrrFr_Water	H_Bldgs	H_EveTr	H_DecTr	z0	zd	FAI_Bldgs	FAI_EveTr	FAI_DecTr	PopDensDay	PopDensNight	TrafficRate_WD	TrafficRate_WE	QF0_BEU_WD	QF0_BEU_WE	Code_Paved	Code_Bldgs	Code_EveTr	Code_DecTr	Code_Grass	Code_Bsoil	Code_Water	LUMPS_DrRate	LUMPS_Cover	LUMPS_MaxRes	NARP_Trans	CondCode	SnowCode	SnowClearingProfWD	SnowClearingProfWE	AnthropogenicCode	IrrigationCode	WaterUseProfManuWD	WaterUseProfManuWE	WaterUseProfAutoWD	WaterUseProfAutoWE	FlowChange	RunoffToWater	PipeCapacity	GridConnection1of8	Fraction1of8	GridConnection2of8	Fraction2of8	GridConnection3of8	Fraction3of8	GridConnection4of8	Fraction4of8	GridConnection5of8	Fraction5of8	GridConnection6of8	Fraction6of8	GridConnection7of8	Fraction7of8	GridConnection8of8	Fraction8of8	WithinGridPavedCode	WithinGridBldgsCode	WithinGridEveTrCode	WithinGridDecTrCode	WithinGridGrassCode	WithinGridUnmanBSoilCode	WithinGridWaterCode	AreaWall	Fr_ESTMClass_Paved1	Fr_ESTMClass_Paved2	Fr_ESTMClass_Paved3	Code_ESTMClass_Paved1	Code_ESTMClass_Paved2	Code_ESTMClass_Paved3	Fr_ESTMClass_Bldgs1	Fr_ESTMClass_Bldgs2	Fr_ESTMClass_Bldgs3	Fr_ESTMClass_Bldgs4	Fr_ESTMClass_Bldgs5	Code_ESTMClass_Bldgs1	Code_ESTMClass_Bldgs2	Code_ESTMClass_Bldgs3	Code_ESTMClass_Bldgs4	Code_ESTMClass_Bldgs5
207	51557278179	220893336043771	1856062014373	220893336153033	220893336984973	220893337032574	220893337126397	57.723966	11.943070	2011	85	302	0	1.0	0	1	0	0	0.288	0.6910000000000001	0.000	0.016	0.005	0.000	0.000	0	0	0	0	0	0	0	590150	0.88	0.88	4.256	3.594	3.594	0.030	5.171	12.723	0.005	0.033	0.033	1110.0	207.000	207.000	0.25	1	10	1	0	0.1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661	662	663	664	665	666	667	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	801	99999	99999	99999	99999	99999	807	99999	1135007172	48134593	43281763	43281763	43281757	43281757	43281758	43281758	643974806	56093161285	56093164922
208	51557278179	51557278178	1856062014373	1953085934	1465062	1465058	1465060	57.723068	11.943071	2011	85	302	0	1.0	0	1	0	0	0.8230000000000001	0.063	0.000	0.036	0.078	0.000	0.000	0	0	0	0	0	0	0	590150	0.88	0.88	0.000	5.288	5.288	0.038	1.419	10.000	0.000	0.022	0.022	520.0	208.000	208.000	0.25	1	10	1	0	0.1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661	662	663	664	665	666	667	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	801	99999	99999	99999	99999	99999	807	99999	1135007172	48134593	43281763	43281763	43281757	43281757	43281758	43281758	643974806	56093161285	56093164922
209	51557278179	220893336200798	1856062014373	220893336294529	220893337236561	220893337298293	220893337392317	57.722170	11.943073	2011	85	302	0	0.9999999877929688	0	1	0	0	0.6770000000000002	0.002	0.000	0.193	0.128	0.000	0.000	0	0	0	0	0	0	0	590150	0.88	0.88	0.000	7.441	7.441	0.457	6.191	22.094	0.000	0.084	0.084	69.99999914550781	209.000	209.000	0.25	1	10	1	0	0.1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661	662	663	664	665	666	667	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	801	99999	99999	99999	99999	99999	807	99999	1135007172	48134593	43281763	43281763	43281757	43281757	43281758	43281758	643974806	56093161285	56093164922
218	220893336356405	220893336449511	1856062014373	220893336543368	220893337485804	220893337532366	220893337626464	57.723966	11.944748	2011	85	302	0	1.0000000122070314	0	1	0	0	0.429	0.510	0.008	0.044	0.009	0.000	0.000	0	0	0	0	0	0	0	590150	0.88	0.88	0.000	9.870	9.870	0.030	1.235	10.000	0.000	0.023	0.023	1860.0000227050784	218.000	218.000	0.25	1	10	1	0	0.1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661	662	663	664	665	666	667	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	801	99999	99999	99999	99999	99999	807	99999	1135007172	48134593	43281763	43281763	43281757	43281757	43281758	43281758	643974806	56093161285	56093164922
219	51557278179	51557278178	1856062014373	1953085934	1465062	1465058	1465060	57.723069	11.944749	2011	85	302	0	1.0	0	1	0	0	0.5890000000000001	0.000	0.003	0.100	0.308	0.000	0.000	0	0	0	0	0	0	0	590150	0.88	0.88	0.000	8.620	8.620	0.745	5.830	25.860	0.000	0.072	0.072	0.0	219.000	219.000	0.25	1	10	1	0	0.1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661	662	663	664	665	666	667	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	801	99999	99999	99999	99999	99999	807	99999	1135007172	48134593	43281763	43281763	43281757	43281757	43281758	43281758	643974806	56093161285	56093164922
220	51557278179	220893336590101	1856062014373	220893336684958	220893337719926	220893337767483	220893337863529	57.722171	11.944751	2011	85	302	0	1.0	0	1	0	0	0.737	0.000	0.004	0.090	0.169	0.000	0.000	0	0	0	0	0	0	0	590150	0.88	0.88	0.000	10.822	10.822	1.653	6.847	32.466	0.000	0.142	0.142	30.0	220.000	220.000	0.25	1	10	1	0	0.1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661	662	663	664	665	666	667	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	801	99999	99999	99999	99999	99999	807	99999	1135007172	48134593	43281763	43281763	43281757	43281757	43281758	43281758	643974806	56093161285	56093164922
229	220893336749114	220893336844377	1856062014373	220893336938295	220893337972441	220893338019142	220893338115046	57.723967	11.946426	2011	85	302	0	1.0	0	1	0	0	0.6980000000000001	0.020	0.000	0.096	0.186	0.000	0.000	0	0	0	0	0	0	0	590150	0.88	0.88	0.000	4.994	4.994	0.321	2.909	12.399	0.000	0.069	0.069	210.0	229.000	229.000	0.25	1	10	1	0	0.1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661	662	663	664	665	666	667	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	801	99999	99999	99999	99999	99999	807	99999	1135007172	48134593	43281763	43281763	43281757	43281757	43281758	43281758	643974806	56093161285	56093164922
230	51557278179	51557278178	1856062014373	1953085934	1465062	1465058	1465060	57.723069	11.946428	2011	85	302	0	1.0	0	1	0	0	0.5820000000000001	0.002	0.011	0.109	0.296	0.000	0.000	0	0	0	0	0	0	0	590150	0.88	0.88	0.000	6.353	6.353	0.621	4.460	18.747	0.000	0.094	0.094	50.0	230.000	230.000	0.25	1	10	1	0	0.1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661	662	663	664	665	666	667	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	801	99999	99999	99999	99999	99999	807	99999	1135007172	48134593	43281763	43281763	43281757	43281757	43281758	43281758	643974806	56093161285	56093164922
231	51557278179	51557278178	1856062014373	1953085934	1465062	1465058	1465060	57.722171	11.946429	2011	85	302	0	1.0	0	1	0	0	0.643	0.003	0.059	0.196	0.099	0.000	0.000	0	0	0	0	0	0	0	590150	0.88	0.88	0.000	9.935	9.935	1.194	8.620	29.458	0.000	0.319	0.319	100.0	231.000	231.000	0.25	1	10	1	0	0.1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661	662	663	664	665	666	667	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	801	99999	99999	99999	99999	99999	807	99999	1135007172	48134593	43281763	43281763	43281757	43281757	43281758	43281758	643974806	56093161285	56093164922
