 id  pai   fai   zH  zHmax   zHstd  zd  z0  wai 
  1 0.174 0.116 8.073 33.229 4.059 5.651 0.807 0.534
  2 0.245 0.079 4.451 13.363 2.529 3.115 0.445 0.656
  3 0.196 0.053 4.853 11.989 2.134 3.397 0.485 0.508
  4 0.163 0.043 3.403 6.846 0.832 2.382 0.340 0.462
  5 0.117 0.056 7.953 22.515 6.657 5.567 0.795 0.434
  6 0.135 0.039 6.011 14.247 2.358 4.208 0.601 0.442
  7 0.190 0.150 8.083 18.646 5.150 5.658 0.808 0.644
  8 0.164 0.049 5.318 19.647 4.466 3.722 0.532 0.524
  9 0.085 0.018 3.308 8.258 0.878 2.315 0.331 0.318
 10 0.046 0.011 4.177 11.639 1.785 2.924 0.418 0.199
 11 0.091 0.039 6.631 24.966 3.542 4.642 0.663 0.349
 12 0.198 0.076 6.011 44.208 3.550 4.208 0.601 0.592
 13 0.158 0.049 5.236 18.572 3.771 3.665 0.524 0.557
 14 0.051 0.008 3.882 18.086 2.765 2.717 0.388 0.180
 15 0.016 0.002 3.199 5.014 0.727 2.239 0.320 0.054
 16 0.266 0.107 8.840 16.168 3.541 6.188 0.884 0.772
 17 0.272 0.073 5.127 14.111 2.314 3.589 0.513 0.686
 18 0.177 0.062 3.837 13.155 1.665 2.686 0.384 0.538
 19 0.000 0.000 0.000 0.000 0.000 0.100 0.030 0.007
 20 0.000 0.000 0.000 0.000 0.000 0.100 0.030 0.002
 21 0.417 0.152 7.761 20.438 3.109 5.433 0.776 1.069
 22 0.259 0.126 9.358 53.437 3.144 6.550 0.936 0.822
 23 0.237 0.089 8.333 15.246 2.510 5.833 0.833 0.789
 24 0.208 0.105 9.984 29.517 4.244 6.988 0.998 0.708
 25 0.034 0.006 4.995 16.992 2.084 3.497 0.500 0.097
 26 0.410 0.176 7.952 21.278 3.931 5.567 0.795 1.147
 27 0.295 0.116 9.638 20.627 3.576 6.746 0.964 0.909
 28 0.372 0.204 10.606 27.136 3.922 7.424 1.061 1.104
 29 0.315 0.211 13.668 24.203 2.242 9.567 1.367 0.971
 30 0.012 0.002 5.283 8.428 1.595 3.698 0.528 0.041
