ID Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
  1 0.547 0.269 0.000 0.148 0.036 0.000 0.000
  2 0.423 0.403 0.000 0.126 0.048 0.000 0.000
  3 0.394 0.278 0.017 0.243 0.068 0.000 0.000
  4 0.320 0.285 0.025 0.273 0.097 0.000 0.000
  5 0.313 0.208 0.041 0.312 0.126 0.000 0.000
  6 0.434 0.215 0.008 0.270 0.073 0.000 0.000
  7 0.425 0.284 0.021 0.180 0.090 0.000 0.000
  8 0.454 0.273 0.020 0.178 0.075 0.000 0.000
  9 0.275 0.162 0.000 0.385 0.178 0.000 0.000
 10 0.310 0.103 0.077 0.277 0.105 0.128 0.000
 11 0.352 0.163 0.032 0.301 0.152 0.000 0.000
 12 0.405 0.279 0.010 0.197 0.109 0.000 0.000
 13 0.340 0.243 0.009 0.342 0.066 0.000 0.000
 14 0.157 0.085 0.000 0.644 0.114 0.000 0.000
 15 0.141 0.029 0.000 0.694 0.101 0.035 0.000
 16 0.403 0.420 0.000 0.146 0.031 0.000 0.000
 17 0.376 0.340 0.000 0.215 0.069 0.000 0.000
 18 0.295 0.278 0.024 0.298 0.105 0.000 0.000
 19 0.043 0.007 0.000 0.837 0.101 0.000 0.012
 20 0.040 0.000 0.000 0.882 0.078 0.000 0.000
 21 0.363 0.542 0.000 0.076 0.019 0.000 0.000
 22 0.426 0.278 0.000 0.240 0.056 0.000 0.000
 23 0.424 0.255 0.012 0.241 0.068 0.000 0.000
 24 0.386 0.263 0.000 0.276 0.075 0.000 0.000
 25 0.211 0.075 0.032 0.511 0.171 0.000 0.000
 26 0.396 0.511 0.000 0.079 0.014 0.000 0.000
 27 0.437 0.354 0.000 0.167 0.042 0.000 0.000
 28 0.421 0.415 0.000 0.137 0.027 0.000 0.000
 29 0.496 0.330 0.020 0.122 0.032 0.000 0.000
 30 0.433 0.027 0.007 0.335 0.170 0.000 0.028
