 id  pai   fai   zH  zHmax   zHstd  zd  z0  wai 
  1 0.124 0.086 7.719 22.524 5.623 5.403 0.772 0.303
  2 0.118 0.092 8.010 25.177 4.200 5.607 0.801 0.347
  3 0.237 0.214 7.542 22.984 4.378 5.280 0.754 0.563
  4 0.264 0.303 10.397 27.032 5.608 7.278 1.040 0.598
  5 0.302 0.304 8.154 23.085 4.592 5.708 0.815 0.710
  6 0.237 0.227 8.941 22.166 4.804 6.259 0.894 0.580
  7 0.163 0.160 7.434 20.059 4.045 5.204 0.743 0.408
  8 0.169 0.189 9.578 27.849 5.451 6.705 0.958 0.446
  9 0.319 0.353 9.823 24.290 5.203 6.876 0.982 0.633
 10 0.312 0.220 9.010 26.522 4.685 6.307 0.901 0.604
 11 0.293 0.431 9.567 27.789 5.234 6.697 0.957 0.734
 12 0.157 0.159 6.071 17.638 2.803 4.250 0.607 0.390
 13 0.303 0.312 8.733 23.489 4.408 6.113 0.873 0.741
 14 0.597 0.387 10.267 23.618 4.714 7.187 1.027 0.915
 15 0.673 0.497 12.662 29.381 5.176 8.863 1.266 1.038
 16 0.114 0.099 7.007 20.890 3.722 4.905 0.701 0.323
 17 0.161 0.173 7.079 27.082 4.281 4.955 0.708 0.432
 18 0.288 0.193 7.434 19.538 3.356 5.204 0.743 0.526
 19 0.778 0.434 8.735 26.550 3.592 6.115 0.874 1.052
 20 0.847 0.608 12.390 29.658 5.311 8.673 1.239 1.414
 21 0.065 0.075 8.078 19.656 4.267 5.654 0.808 0.214
 22 0.198 0.207 8.320 22.179 4.290 5.824 0.832 0.519
 23 0.205 0.217 7.546 22.887 3.896 5.282 0.755 0.547
 24 0.228 0.254 9.874 26.191 5.351 6.911 0.987 0.678
 25 0.529 0.462 15.101 27.397 5.435 10.571 1.510 1.320
 26 0.073 0.129 6.224 23.777 2.832 4.357 0.622 0.284
 27 0.156 0.176 7.743 22.767 4.555 5.420 0.774 0.449
 28 0.118 0.152 7.327 23.002 3.887 5.129 0.733 0.393
 29 0.117 0.170 9.194 21.975 5.066 6.436 0.919 0.357
 30 0.335 0.264 12.668 27.635 5.669 8.868 1.267 0.772
